recipe,recipe_url,rating,lactose_per_serving,calories,protein,fat,carbs,fiber,vitamin_a,vitamin_c,vitamin_b12,iron,calcium,magnesium
Käsefondue,https://cookidoo.de/recipes/recipe/de-DE/r84246,-522.0,0.0,1634.7800000000002,110.4745625,116.6193,0.897275,1.15238,955.155,13.689525000000001,8.9,1.1167845,4654.086800000001,179.71058000000002
Käsefondue (mediterran),https://cookidoo.de/recipes/recipe/de-DE/r82579,-65.0,0.0,1640.9550000000002,110.7634375,116.69875000000002,1.709775,1.4776775,981.485,19.879655,8.90085,1.167067,4658.048300000002,182.76958
Chäsfondue,https://cookidoo.de/recipes/recipe/de-DE/r417190,-26.0,0.0,1796.48,110.4262625,116.6193,48.630275,1.15238,955.155,11.169525000000002,8.9,1.0600745,4649.776800000002,176.26058
Ofenpasta in Gemüsesauce,https://cookidoo.de/recipes/recipe/de-DE/r920874,-241.0,151.2425,1294.2825,56.61050000000002,60.6069,122.60395,12.77194,1600.3775,329.2025,2.784,6.264449545,1654.17605764,201.514939985
Tomaten-Paprika-Reis mit Gemüse und Schafskäse,https://cookidoo.de/recipes/recipe/de-DE/r902490,-237.0,0.0,1318.9025,61.47926250000001,79.48655000000001,28.916375,9.840785,1108.5925,365.5247849999999,4.4517,2.626962899999999,2417.4192401999994,163.2391592
Paprika-Zucchini-Pasta,https://cookidoo.de/recipes/recipe/de-DE/r216655,-644.0,14.0,2033.82,103.67814,79.793135,205.7081,30.52594,777.335,485.558,0.5,20.84803068,598.9835305599998,366.57051494
Tortilla-Calzone,https://cookidoo.de/recipes/recipe/de-DE/r753852,-403.0,0.0,1594.9962500000001,83.48919999999998,51.57985,168.3287,43.176875,1557.60875,620.5607500000001,2.47,29.039622499999997,1187.6745,447.295375
