link--alt href,core-tile__image src,core-tile__description-text,core-rating__counter,core-rating__label,core-tile__description-subline
https://cookidoo.de/recipes/recipe/de-DE/r177574,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/36AF2379-D29D-4CF2-90A4-6F74FF43240E/Derivates/7727F661-321D-4B15-8FDC-6900E5F4F71C,Pulled Tandoori Chicken,4.3,-596,30 Min
https://cookidoo.de/recipes/recipe/de-DE/r399554,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/86E664B8-E360-4E22-8FFB-E8E32B042E8C/Derivates/5729dc41-8c25-458c-a15c-e9a008295257,Garnelen Aglio e Olio,4.4,-297,20 Min
https://cookidoo.de/recipes/recipe/de-DE/r126346,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/CD684236-F90C-4927-9D5F-ED90C789A6C3/Derivates/6BB3E997-6F2B-4498-B645-08AA4BD696FD,Currywurst mit Sansibar Currysauce,4.7,(1.6K),30 Min
https://cookidoo.de/recipes/recipe/de-DE/r82579,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/5479B5A6-DFC4-4428-B596-3F95B28E8BBE/Derivates/830F3E9C-D523-4943-9DBE-DD5A3BC1B358,Käsefondue (mediterran),4.2,-65,25 Min
https://cookidoo.de/recipes/recipe/de-DE/r753848,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/59a5caeb878980ff644b9ec7871ccd1b/Derivates/fa41252aeca69bf746b524ad8ca20e828fdfa04e,Feurige Ingwer-Limettensuppe mit Räuchertofu,4.4,-913,30 Min
https://cookidoo.de/recipes/recipe/de-DE/r446102,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/bde46e24-44c2-4f89-a1a3-46bb19e7593f/Derivates/374a2d19-fb04-4dfd-96da-1edf1f172a86,Gemüse-Puten-Tortillas,4.4,(2K),20 Min
https://cookidoo.de/recipes/recipe/de-DE/r903814,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/ff1f5c7ed88c6d34aed35be265add803/Derivates/18cb3cb7aa3f36d15ca5703c52799a9098b92b5c,Schnelle Gemüse-Brötchen,4.4,-241,30 Min
https://cookidoo.de/recipes/recipe/de-DE/r812637,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/56414f9d014a54d00b348529e3a6a7e6/Derivates/e6ee3d3ed703245f2880b200808b60fe38679a97,Baguette Hawaii,4.5,-186,30 Min
https://cookidoo.de/recipes/recipe/de-DE/r568052,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/59841AD4-C997-4225-ACD8-F18ADB2DE23C/Derivates/e029265d-5e34-492c-aea6-d3f2d6b33048,Hotdog-Pizza,4.5,-622,30 Min
https://cookidoo.de/recipes/recipe/de-DE/r144390,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/A6322826-9443-4D5A-B77F-3E35E58C6979/Derivates/77DF4C47-A61D-4BAB-B438-4FEE1BDFD98C,Kasseler-Topf mit Sauerkraut,4.3,(1.5K),30 Min
https://cookidoo.de/recipes/recipe/de-DE/r167202,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/f5853f13-70a5-4a54-b38a-8f229c3050f5/Derivates/7c5f0049-a335-40d1-8ef5-d2702653584e,"Spaghetti mit Knoblauch, Olivenöl und Chili",4.4,-312,30 Min
https://cookidoo.de/recipes/recipe/de-DE/r85187,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/F5246E05-6767-4CED-826D-A7EC807C4836/Derivates/489CEEC6-62C6-4825-8AA6-9615EE8328C4,Vegetarische Sushi-Rolle,4.5,-107,30 Min
https://cookidoo.de/recipes/recipe/de-DE/r39365,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/597B1514-5D27-449E-B9E8-568DF8C24104/Derivates/B61C8DD2-92E0-4F74-9877-47483802CB55,Linsen mit Balsamico,4.4,-597,25 Min
https://cookidoo.de/recipes/recipe/de-DE/r413377,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/efd58709-e421-4256-a42a-700e61c9ca18/Derivates/b940e56f-4f72-46ce-ab34-526fc0a1d892,Cremige Kidneybohnen-Kokos-Suppe mit Tortilla-Chips,4.3,-245,30 Min
https://cookidoo.de/recipes/recipe/de-DE/r245489,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/f7ddc95ba56c430fb0a473cdfaee9037/Derivates/bf4b1367de2be0e7d557d5a3c2e920902165a241,Bohnen-Avocado-Salat,4.3,-141,15 Min
https://cookidoo.de/recipes/recipe/de-DE/r124130,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/536edf6d8e2ae32711dfab9406eecb90/Derivates/9486983bd293bbaebf3b6e9fb387650565f3fe4d,Kokosnuss Dhal,4.3,(1.4K),25 Min
https://cookidoo.de/recipes/recipe/de-DE/r802323,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/ac77f3967de919823b4891f6978b3bff/Derivates/ecfbf3d3b2deeadfe9b372c8dd04ace8a2d50fc2,Buchstabensuppe,4.1,-466,30 Min
https://cookidoo.de/recipes/recipe/de-DE/r777874,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/fe1b86ca9eb091b01f3a6f3f789a9613/Derivates/7f20ee5f61f51544339a8ae6e7cf7a79f81d2ba6,Thai-Salat mit Erdnussdressing,4.8,-98,30 Min
https://cookidoo.de/recipes/recipe/de-DE/r716446,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/33bfa13e-8902-4e40-abea-ca422bb078a8/Derivates/ccdbf0df-9c5f-418e-96e6-53e8488b8c1c,Pasta für Sportler,4.4,(1.3K),30 Min
https://cookidoo.de/recipes/recipe/de-DE/r391735,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/5DD0C9DB-F348-4F98-9DAA-3833AE45175E/Derivates/dacc7b00-eccb-4a22-89ee-fc07d1f303b6,Rauchiger Bohneneintopf,4.3,-864,30 Min
https://cookidoo.de/recipes/recipe/de-DE/r484385,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/4084AE69-26FC-4A40-BE91-87D1793EF503/Derivates/872f39a3-bdcd-4ebc-9791-4a43625887a6,Puten-Döner mit Petersiliendip,4.7,(4.4K),25 Min
https://cookidoo.de/recipes/recipe/de-DE/r773086,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/0ea939cbaab25f4665389cc2ff8c9612/Derivates/ad1a47da42897c9f9ee55a59ab6fff765d1ea055,Pita mit Hackbällchen,4.4,-374,30 Min
https://cookidoo.de/recipes/recipe/de-DE/r657868,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/4933b0c4-b609-4810-ad2f-2a3c657ba94d/Derivates/d87e03ee-1aaf-41f3-b3b4-c1e3618ae907,Cremige Mie-Nudeln,4.3,(3.5K),30 Min
https://cookidoo.de/recipes/recipe/de-DE/r916203,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/1d82b90ba67aaa5018976775b11f0ee6/Derivates/7d81d2ea0c0c75419669df9de14834d23eab3c2c,Udon Nudeln mit Poulet,4.3,-37,20 Min
https://cookidoo.de/recipes/recipe/de-DE/r577540,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/EC88DA52-5B2B-48B7-BFB6-13A6893109EB/Derivates/c6a86ba1-c850-4a0e-be34-40061a7cf1ee,Hörnlisalat,4.1,-69,30 Min
https://cookidoo.de/recipes/recipe/de-DE/r122370,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/6725B10D-E5C8-40D0-9F08-B930FD958A4A/Derivates/26A12473-44E2-43D9-9BF8-64BC25D554D7,Knoblauch-Pfeffer-Garnelen,4.2,-34,25 Min
https://cookidoo.de/recipes/recipe/de-DE/r319786,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/A606C67D-55D7-4276-89BF-2B54A306AE60/Derivates/D03C4362-B2AD-4DD2-970F-BE3457CD250E,Käse-Wraps mit Möhren-Mandel-Salsa,4,-697,30 Min
https://cookidoo.de/recipes/recipe/de-DE/r925713,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/3d2a6dd877f17ff1a1882571cb65349a/Derivates/fd4c26957a86789a20b94e304f27231f3b36d3d4,Kokoscurry mit Huhn und Karfiolreis (Low Carb),4.4,-31,30 Min
https://cookidoo.de/recipes/recipe/de-DE/r912579,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/da735b2459c765b0e879be0a36590b54/Derivates/1ada4637ab76d9540a6cc5153cc099cdf7dc48d3,Gnocchi in Paprika-Chorizo-Sauce mit Cheddar,4.3,-103,30 Min
https://cookidoo.de/recipes/recipe/de-DE/r821223,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/37ded0ed50630822dfb6304d51483aea/Derivates/f8e1ac963a6fb9393562b5a36e64ffc9893b70ec,Tofu-Curry mit Gemüse,4.2,-138,30 Min
https://cookidoo.de/recipes/recipe/de-DE/r812634,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/31d805b2242fe8d48aba09b4ea06f6e9/Derivates/d1d52c2f5fb5726dd659cefb0a83c3d005c93f27,Gebratene Mie-Nudeln mit Gemüse,4.5,(1.4K),30 Min
https://cookidoo.de/recipes/recipe/de-DE/r770575,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/494b01e74ff5e822bf80410206bb09c9/Derivates/85764ba3bfdb99bf55ce9c7a5349c8f929acec82,Kimchi-Risotto,4.6,-109,25 Min
https://cookidoo.de/recipes/recipe/de-DE/r580601,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/b9ca1353-042a-4edd-bd57-8fa014487311/Derivates/31485875-af76-4651-b1fb-1215ea94b9e7,Gemüse-Miso-Suppe mit Hähnchen,4.4,-541,30 Min
https://cookidoo.de/recipes/recipe/de-DE/r116592,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/E6615740-07DB-4A3E-A3ED-E7CCA2D38B7F/Derivates/56FD81A6-1672-4B7E-A020-FDFD256A28DD,Überbackenes Brot,4.4,-707,20 Min
https://cookidoo.de/recipes/recipe/de-DE/r422428,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/c2da706c-f278-4a77-a4b0-c11cc4b0450d/Derivates/dd0f0a01-5951-4041-9bf7-99c0e91a4e5f,Chorizo Quesadillas mit Guacamole,4.3,(1.3K),25 Min
https://cookidoo.de/recipes/recipe/de-DE/r763299,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/ecdb1b6727fd67a8d3b1666bee7f3c1a/Derivates/7eb9aa1366a80aec501957febcf4ecd99bbc2e87,Lauwarmer Rotkohl-Quinoa-Salat,4.5,-160,30 Min
https://cookidoo.de/recipes/recipe/de-DE/r573608,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/A7C00C69-3FAE-4224-B690-ECE4747E93B3/Derivates/296556d5-735f-4399-8644-099b3bc9d928,Möhren-Fenchel-Eintopf mit Lachs,4.5,-368,30 Min
