ingredient_name,frequency,raw_examples,bls_rank,bls_entry_name,match_score,approve
fischsauce,12,20 g Fischsauce,1,Punschsauce,0.762,
garnelen geschält,12,"400 g Garnelen, roh, geschält",1,"Apfel geschält, roh",0.667,
garnelen geschält,12,"400 g Garnelen, roh, geschält",2,"Kartoffel geschält, roh",0.65,
garnelen geschält,12,"400 g Garnelen, roh, geschält",3,Grüne Bohnen gekocht,0.649,
fischsauce,12,20 g Fischsauce,2,Biersauce,0.632,
fischsauce,12,20 g Fischsauce,3,Schokoladensauce,0.615,
imette,12,½ Limette,3,Limettensaft Konzentrat,0.614,
worcester-sauce,11,1 TL Worcester-Sauce,1,Malteser Sauce,0.621,
frischer ingwer,11,20 g frischer Ingwer,1,Eier-Frischteigwaren roh,0.615,
frischer ingwer,11,20 g frischer Ingwer,2,Pilsner Bier,0.593,
worcester-sauce,11,1 TL Worcester-Sauce,2,Biersauce,0.583,
frischer ingwer,11,20 g frischer Ingwer,3,Fleischkäse weiß,0.581,
elbe paprika,11,1 gelbe Paprika,1,Rührei gebraten mit Paprika,0.564,
bandnudeln,11,400 g Bandnudeln,1,Mandelöl,0.556,
worcester-sauce,11,1 TL Worcester-Sauce,3,Gerste Graupen,0.552,
elbe paprika,11,1 gelbe Paprika,2,Erbse reif,0.545,
stängel minze,11,5 Stängel Minze,1,Steinsalz,0.545,
"mais, aus der dose",11,"140 g Mais, aus der Dose",1,Mais roh,0.538,
stängel minze,11,5 Stängel Minze,2,Sahnepralinen,0.538,
stängel minze,11,5 Stängel Minze,3,Tangerine roh,0.538,
bandnudeln,11,400 g Bandnudeln,2,Weinbrand-Bohnen,0.538,
elbe paprika,11,1 gelbe Paprika,3,"Gemüsepaprika rot, roh",0.529,
bandnudeln,11,400 g Bandnudeln,3,Mandelmus,0.526,
"mais, aus der dose",11,"140 g Mais, aus der Dose",2,Europäische Auster roh,0.5,
"mais, aus der dose",11,"140 g Mais, aus der Dose",3,Sauermolke,0.5,
orbeerblatt,10,"1 Lorbeerblatt, getrocknet",1,Erdbeersaft,0.636,
pecorino,10,40 g Pecorino,1,Portwein,0.625,
orbeerblatt,10,"1 Lorbeerblatt, getrocknet",2,Brombeersaft,0.609,
orbeerblatt,10,"1 Lorbeerblatt, getrocknet",3,Erdbeerbowle,0.609,
pecorino,10,40 g Pecorino,2,Apfelkorn,0.588,
"blattspinat, tk",10,"80 g Blattspinat, TK",1,Spinat roh,0.56,
pecorino,10,40 g Pecorino,3,Hering roh,0.556,
"blattspinat, tk",10,"80 g Blattspinat, TK",2,Spinat gekocht,0.552,
eier (größe m),10,2 Eier (Größe M),1,Eier gekocht,0.538,
paprika de la vera,10,½ TL Paprika de la Vera,1,"Gemüsepaprika gelb, roh",0.537,
"emüsebouillonwürfel (für je 0,5 l)",10,"2 Gemüsebouillonwürfel (für je 0,5 l)",1,"Gemüse Bouillon/Brühe/Suppe (Brühwürfel, Pulver)",0.537,
paprika de la vera,10,½ TL Paprika de la Vera,2,Aprikose roh,0.533,
"blattspinat, tk",10,"80 g Blattspinat, TK",3,Spinat gebacken,0.533,
paprika de la vera,10,½ TL Paprika de la Vera,3,Frikadellen gebraten,0.526,
eier (größe m),10,2 Eier (Größe M),2,Weizen Grütze,0.519,
"emüsebouillonwürfel (für je 0,5 l)",10,"2 Gemüsebouillonwürfel (für je 0,5 l)",2,Bouillonkartoffeln (mit Fleischbrühe),0.507,
eier (größe m),10,2 Eier (Größe M),3,Reis Grieß,0.5,
"emüsebouillonwürfel (für je 0,5 l)",10,"2 Gemüsebouillonwürfel (für je 0,5 l)",3,"Fleisch Bouillon/Brühe/Suppe (Brühwürfel, Pulver)",0.458,
eisbergsalat,9,40 g Eisbergsalat,1,Eisbergsalat roh,1.0,
mandeln,9,60 g Mandeln,1,Mandelöl,0.8,
weizenmehl,9,50 g Weizenmehl,1,Buchweizen Mehl,0.8,
fenchel,9,200 g Fenchel,1,Gemüsefenchel roh,0.783,
eisbergsalat,9,40 g Eisbergsalat,2,Eisbergsalat mit Essigmarinade,0.771,
räucherlachs,9,300 g Räucherlachs,1,Lachs geräuchert (Räucherlachs),0.758,
mandeln,9,60 g Mandeln,2,Mandelmus,0.75,
eisbergsalat,9,40 g Eisbergsalat,3,Eisbergsalat mit Zitronenmarinade,0.733,
walnusshälften,9,80 g Walnusshälften,1,Walnuss gemahlen,0.733,
räucherlachs,9,300 g Räucherlachs,2,"Rührei gebraten, mit Räucherlachs",0.733,
weizenmehl,9,50 g Weizenmehl,2,Weizenkeimöl,0.727,
mandeln,9,60 g Mandeln,3,Mandel süß,0.706,
fenchel,9,200 g Fenchel,2,Gemüsefenchel gekocht,0.7,
weizenmehl,9,50 g Weizenmehl,3,Erbsenmehl,0.7,
walnusshälften,9,80 g Walnusshälften,2,Walnussöl,0.696,
fenchel,9,200 g Fenchel,3,Gemüsefenchel gebacken,0.683,
walnusshälften,9,80 g Walnusshälften,3,Walnusseis,0.667,
räucherlachs,9,300 g Räucherlachs,3,Buckellachs roh,0.593,
penne,9,250 g Penne,1,Pekannuss,0.571,
penne,9,250 g Penne,2,Entenfett,0.571,
minze,9,5 g Minze,1,Liegnitzer,0.533,
penne,9,250 g Penne,3,Pinienkern,0.533,
minze,9,5 g Minze,2,Mais Grütze,0.5,
minze,9,5 g Minze,3,Gin,0.5,
kürbis,8,150 g Kürbis,1,Kürbiskern,0.95,
kürbis,8,150 g Kürbis,2,Kürbiskernöl,0.867,
haselnüsse,8,70 g Haselnüsse,1,Haselnuss,0.842,
erdnusscreme,8,50 g Erdnusscreme,1,Erdnussbutter/Erdnusscreme,0.832,
kürbis,8,150 g Kürbis,3,Kürbiskompott,0.832,
peperoni,8,140 g rote Peperoni,1,Kabanossi/Peperoni,0.815,
couscous,8,100 g Couscous,1,Couscous mit Butter,0.793,
haselnüsse,8,70 g Haselnüsse,2,Haselnussöl,0.762,
"joghurt, 3,5% fett",8,"2 EL Joghurt, 3,5% Fett",1,"Joghurt mild, mind. 3,5 % Fett",0.75,
erdnusscreme,8,50 g Erdnusscreme,2,Erdnussmus,0.727,
haselnüsse,8,70 g Haselnüsse,3,Haselnussmus,0.727,
